DateTime;Quality status;Resolution code;Net regulation volume;System imbalance;Alpha;Marginal incremental price;Marginal decremental price;Strategic reserve price;Positive imbalance price;Negative imbalance price
2021-12-31T23:45:00+01:00;Validated;PT15M;60.386;-7.333;0.0;150.0;60.73;;150.0;150.0
2021-12-31T23:30:00+01:00;Validated;PT15M;-109.414;99.125;0.0;159.0;46.45;;46.45;46.45
2021-12-31T23:15:00+01:00;Validated;PT15M;-113.537;131.166;0.0;159.0;33.68;;33.68;33.68
2021-12-31T23:00:00+01:00;Validated;PT15M;0.013;24.873;0.0;159.0;36.34;;36.34;36.34
2021-12-31T22:45:00+01:00;Validated;PT15M;343.404;-328.679;34.57;162.76;35.96;;197.33;197.33
2021-12-31T22:30:00+01:00;Validated;PT15M;307.099;-367.796;31.03;174.07;35.96;;205.09;205.09
2021-12-31T22:15:00+01:00;Validated;PT15M;307.577;-311.869;13.91;159.0;35.96;;172.91;172.91
2021-12-31T22:00:00+01:00;Validated;PT15M;249.527;-250.938;4.88;161.98;35.96;;166.87;166.87
2021-12-31T21:45:00+01:00;Validated;PT15M;167.404;-169.645;1.31;159.0;6.2;;160.31;160.31
2021-12-31T21:30:00+01:00;Validated;PT15M;77.334;-77.793;0.0;159.0;6.2;;159.0;159.0
2021-12-31T21:15:00+01:00;Validated;PT15M;12.259;-9.51;0.0;159.0;6.2;;159.0;159.0
2021-12-31T21:00:00+01:00;Validated;PT15M;-8.673;18.803;0.0;159.0;6.2;;6.2;6.2
2021-12-31T20:45:00+01:00;Validated;PT15M;74.162;-70.561;0.0;200.0;-32.27;;200.0;200.0
2021-12-31T20:30:00+01:00;Validated;PT15M;40.215;-29.191;0.0;200.0;75.0;;200.0;200.0
2021-12-31T20:15:00+01:00;Validated;PT15M;-3.179;2.418;0.0;200.0;2.64;;2.64;2.64
2021-12-31T20:00:00+01:00;Validated;PT15M;-3.86;-2.661;0.0;200.0;-30.67;;200.0;200.0
2021-12-31T19:45:00+01:00;Validated;PT15M;-11.457;20.916;0.0;242.54;53.83;;53.83;53.83
2021-12-31T19:30:00+01:00;Validated;PT15M;75.17;-31.42;0.0;300.0;58.0;;300.0;300.0
2021-12-31T19:15:00+01:00;Validated;PT15M;204.838;-238.316;21.3;296.44;60.72;;317.74;317.74
2021-12-31T19:00:00+01:00;Validated;PT15M;123.406;-385.207;4.29;214.05;60.72;;218.34;218.34
2021-12-31T18:45:00+01:00;Validated;PT15M;25.507;-18.251;0.0;187.0;70.0;;187.0;187.0
2021-12-31T18:30:00+01:00;Validated;PT15M;38.175;-19.148;0.0;187.0;70.0;;187.0;187.0
2021-12-31T18:15:00+01:00;Validated;PT15M;85.832;-72.754;0.0;187.0;70.0;;187.0;187.0
2021-12-31T18:00:00+01:00;Validated;PT15M;162.088;-109.0;0.0;187.76;70.0;;187.76;187.76
2021-12-31T17:45:00+01:00;Validated;PT15M;106.924;-148.241;0.0;200.04;70.0;;200.04;200.04
2021-12-31T17:30:00+01:00;Validated;PT15M;92.252;-66.917;0.0;209.73;75.0;;209.73;209.73
2021-12-31T17:15:00+01:00;Validated;PT15M;-9.462;-85.982;0.0;233.0;-44.71;;233.0;233.0
2021-12-31T17:00:00+01:00;Validated;PT15M;89.419;7.687;0.0;283.42;-53.28;;-53.28;-53.28
2021-12-31T16:45:00+01:00;Validated;PT15M;278.991;-272.636;11.51;283.42;70.0;;294.93;294.93
